Date,High,Low,Open,Close,Volume,Adj Close
2019-07-31,10488.8095703125,9890.490234375,10089.25,10409.7900390625,442037342,10409.7900390625
2019-08-01,10666.6396484375,10340.8203125,10409.7900390625,10528.990234375,463688251,10528.990234375
2019-08-02,10915.0,10509.349609375,10528.990234375,10820.41015625,367536516,10820.41015625
2019-08-03,11074.9501953125,10572.240234375,10820.41015625,10978.91015625,431699306,10978.91015625
2019-08-04,11945.3798828125,10978.8896484375,10978.91015625,11807.9599609375,870917186,11807.9599609375
2019-08-05,12316.849609375,11224.099609375,11807.9599609375,11467.099609375,949534020,11467.099609375
2019-08-06,12138.5498046875,11393.98046875,11467.099609375,11974.2802734375,834719365,11974.2802734375
2019-08-07,12042.8701171875,11498.0400390625,11974.2802734375,11982.7998046875,588463519,11982.7998046875
2019-08-08,12027.5703125,11674.0595703125,11982.7998046875,11865.2099609375,464214586,11865.2099609375
2019-08-09,11971.349609375,11232.419921875,11865.2099609375,11293.58984375,470049694,11293.58984375
2019-08-10,11584.349609375,11119.3203125,11293.58984375,11549.0595703125,292814721,11549.0595703125
2019-08-11,11554.740234375,11240.3798828125,11549.0595703125,11387.41015625,229908138,11387.41015625
2019-08-12,11439.48046875,10765.2998046875,11387.41015625,10872.0,483240069,10872.0
2019-08-13,10873.4404296875,9924.580078125,10872.0,10031.8896484375,728247545,10031.8896484375
2019-08-14,10451.6103515625,9497.1201171875,10031.8896484375,10308.509765625,842979140,10308.509765625
2019-08-15,10544.9697265625,9764.3203125,10308.509765625,10360.4296875,635040831,10360.4296875
2019-08-16,10474.6396484375,10010.759765625,10360.4296875,10220.75,251018339,10220.75
2019-08-17,10512.8896484375,10079.4599609375,10220.75,10326.25,223456175,10326.25
2019-08-18,10937.259765625,10278.3095703125,10326.25,10922.16015625,426168059,10922.16015625
2019-08-19,10956.0595703125,10576.3701171875,10922.16015625,10770.759765625,332208752,10770.759765625
2019-08-20,10805.7001953125,9870.0703125,10770.759765625,10131.669921875,584554031,10131.669921875
2019-08-21,10231.990234375,9777.0595703125,10131.669921875,10104.1103515625,380411207,10104.1103515625
2019-08-22,10468.1396484375,10053.669921875,10104.1103515625,10410.490234375,324471966,10410.490234375
2019-08-23,10430.990234375,9911.2001953125,10410.490234375,10150.0703125,283755017,10150.0703125
2019-08-24,10353.9501953125,9907.0302734375,10150.0703125,10141.75,259448931,10141.75
2019-08-25,10626.9296875,10141.75,10141.75,10364.91015625,437989368,10364.91015625
2019-08-26,10381.919921875,10038.259765625,10364.91015625,10175.4697265625,269489962,10175.4697265625
2019-08-27,10281.58984375,9600.830078125,10175.4697265625,9722.830078125,486936428,9722.830078125
2019-08-28,9724.51953125,9344.6904296875,9722.830078125,9492.8095703125,406305621,9492.8095703125
2019-08-29,9699.849609375,9368.26953125,9492.8095703125,9587.25,276606372,9587.25
2019-08-30,9714.1103515625,9512.0302734375,9587.25,9624.5400390625,148320616,9624.5400390625
2019-08-31,9823.5302734375,9578.66015625,9624.5400390625,9768.3603515625,149995549,9768.3603515625
2019-09-01,10459.0,9764.759765625,9768.3603515625,10387.5,429220162,10387.5
2019-09-02,10773.26953125,10296.2998046875,10387.5,10625.099609375,550564712,10625.099609375
2019-09-03,10827.1396484375,10392.8798828125,10625.099609375,10585.2001953125,436210232,10585.2001953125
2019-09-04,10659.599609375,10475.8798828125,10585.2001953125,10556.16015625,253210793,10556.16015625
2019-09-05,10938.3896484375,10228.169921875,10556.16015625,10309.91015625,577987384,10309.91015625
2019-09-07,10574.990234375,10304.2197265625,10310.0400390625,10526.51953125,175909808,10526.51953125
